引数の個数:2

引数型:,第1引数:int,第2引数:nat,

テストケースNo. 入力データ  --> 期待出力データ
No.1,intMin-1,natMin-1,-->,"Undefined Action"
No.2,intMin-1,natMin,-->,"Undefined Action"
No.3,intMin-1,natMax,-->,"Undefined Action"
No.4,intMin-1,natMax+1,-->,"Undefined Action"
No.5,intMin-1,1,-->,"Undefined Action"
No.6,intMin-1,-3,-->,"Undefined Action"
No.7,intMin-1,-2,-->,"Undefined Action"
No.8,intMin,natMin-1,-->,"Undefined Action"
No.9,intMin,natMin,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.10,intMin,natMax,-->,"a <= 10 and !(-1 > a) and b > 0"
No.11,intMin,natMax+1,-->,"Undefined Action"
No.12,intMin,1,-->,"a <= 10 and !(-1 > a) and b > 0"
No.13,intMin,-3,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.14,intMin,-2,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.15,intMax,natMin-1,-->,"Undefined Action"
No.16,intMax,natMin,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.17,intMax,natMax,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.18,intMax,natMax+1,-->,"Undefined Action"
No.19,intMax,1,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.20,intMax,-3,-->,"!(a <= 10) and b <= -3"
No.21,intMax,-2,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.22,intMax+1,natMin-1,-->,"Undefined Action"
No.23,intMax+1,natMin,-->,"Undefined Action"
No.24,intMax+1,natMax,-->,"Undefined Action"
No.25,intMax+1,natMax+1,-->,"Undefined Action"
No.26,intMax+1,1,-->,"Undefined Action"
No.27,intMax+1,-3,-->,"Undefined Action"
No.28,intMax+1,-2,-->,"Undefined Action"
No.29,10,natMin-1,-->,"Undefined Action"
No.30,10,natMin,-->,"a <= 10 and -1 < a"
No.31,10,natMax,-->,"a <= 10 and -1 < a"
No.32,10,natMax+1,-->,"Undefined Action"
No.33,10,1,-->,"a <= 10 and -1 < a"
No.34,10,-3,-->,"a <= 10 and -1 < a"
No.35,10,-2,-->,"a <= 10 and -1 < a"
No.36,11,natMin-1,-->,"Undefined Action"
No.37,11,natMin,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.38,11,natMax,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.39,11,natMax+1,-->,"Undefined Action"
No.40,11,1,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.41,11,-3,-->,"!(a <= 10) and b <= -3"
No.42,11,-2,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.43,0,natMin-1,-->,"Undefined Action"
No.44,0,natMin,-->,"a <= 10 and -1 < a"
No.45,0,natMax,-->,"a <= 10 and -1 < a"
No.46,0,natMax+1,-->,"Undefined Action"
No.47,0,1,-->,"a <= 10 and -1 < a"
No.48,0,-3,-->,"a <= 10 and -1 < a"
No.49,0,-2,-->,"a <= 10 and -1 < a"
No.50,-1,natMin-1,-->,"Undefined Action"
No.51,-1,natMin,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.52,-1,natMax,-->,"a <= 10 and !(-1 > a) and b > 0"
No.53,-1,natMax+1,-->,"Undefined Action"
No.54,-1,1,-->,"a <= 10 and !(-1 > a) and b > 0"
No.55,-1,-3,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.56,-1,-2,-->,"a <= 10 and !(-1 > a) and !(b > 0)"
No.57,19,natMin-1,-->,"Undefined Action"
No.58,19,natMin,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.59,19,natMax,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.60,19,natMax+1,-->,"Undefined Action"
No.61,19,1,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.62,19,-3,-->,"!(a <= 10) and b <= -3"
No.63,19,-2,-->,"!(a <= 10) and !(b <= -3) and a < 20"
No.64,20,natMin-1,-->,"Undefined Action"
No.65,20,natMin,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.66,20,natMax,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.67,20,natMax+1,-->,"Undefined Action"
No.68,20,1,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
No.69,20,-3,-->,"!(a <= 10) and b <= -3"
No.70,20,-2,-->,"!(a <= 10) and !(b <= -3) and !(a < 20)"
